 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Label
54766,549597,5,11,4938,10855,348,78,163.4416302862839,251.12820686059845,1113,47,806.0941264311127,20.752565215346333,412095.9563647219,2863.712687172008,1,1,0,1,0,0,1,0,0.7456809864083478,PortScan
9288,83301,49,5,6702,12887,257,13,588.8049335177226,170.1888499955175,1091,30,364.202186387667,477.3373243331799,33921.2209395233,3183.5332460115656,1,1,1,1,1,1,1,1,0.9336098539974096,BENIGN
25336,725496,38,22,6852,5482,1149,40,763.2708123057171,461.9721340858833,671,83,724.3885543374989,124.63150877505048,261245.9428109717,7619.864045356069,0,0,1,0,0,1,1,1,0.8318930313423638,BENIGN
62999,278926,18,32,2518,11434,1064,72,354.35914195564607,306.1806343706028,1232,60,192.1632209209926,395.3077453697279,75877.1169705711,691.628513840737,0,0,0,1,1,0,1,1,1.952577682431471,BruteForce
6893,149370,30,30,3662,8329,38,33,147.40781120701183,248.11477972165773,977,43,483.0949529275289,15.88143983353215,106199.2132300996,7387.3966627316495,0,0,0,0,0,1,1,1,1.3038751777774036,BENIGN
17769,569668,34,22,2595,3697,703,12,609.321490386759,13.500630377872923,977,52,635.5610248413924,404.74078503150616,998780.508566452,1188.4370870801554,0,0,0,1,1,0,0,1,1.994512528075055,BENIGN
32502,99617,44,48,4501,11435,237,26,894.2105358948073,237.55202747035145,404,60,260.379343405374,94.62586469685492,581403.3217707806,9710.10290538884,1,0,0,1,0,1,0,1,1.8671966272890903,BENIGN
34904,256696,3,42,8554,9140,137,86,153.52304783872,470.9036667291004,395,95,548.4927974080481,41.595543425287495,961829.7123074068,7030.458209251693,1,0,0,0,0,1,0,0,0.7900621591157992,BENIGN
40961,516999,10,48,7796,6274,893,13,853.1482416157314,51.66660905997335,852,67,719.3496963845394,185.11488800804776,899792.9276573287,8102.348146187464,1,0,0,0,0,0,0,0,1.3965007290635536,BENIGN
46579,149622,8,9,5108,12357,297,53,589.4107604173624,94.3449913815368,1396,38,564.7048997068649,359.86299269955265,293027.9593688157,4849.849133596217,1,1,1,0,0,1,1,0,1.2525922120714812,PortScan
26278,813349,19,35,11257,810,757,92,548.4539914888035,156.49930311700706,1314,34,628.4418739633069,331.3605262175124,14966.504600081416,4989.367465796027,1,1,0,0,1,1,1,0,1.3672297491354612,BENIGN
46752,212782,47,39,9800,3582,874,24,537.9700382302631,175.26050372386595,883,90,57.417980171362565,88.47487526260545,719603.2312509154,9596.665951263089,0,1,0,1,0,0,0,1,0.8160209930060685,BENIGN
43593,968453,19,8,12908,14624,849,98,209.24048564855525,120.13434529710597,1422,18,649.7086438091012,233.61193470102725,281415.78060336,8959.22684737713,0,0,1,0,0,1,1,1,1.383038696654164,BENIGN
59399,978837,42,16,1309,13131,1397,75,577.733529475709,446.9327114282266,1040,11,191.9105047059351,132.18951323251957,216161.54478337077,6270.257007510126,0,1,0,0,0,0,0,1,1.406674344258146,BENIGN
29422,306774,33,20,10304,7599,850,31,623.1424844694959,456.31016559729,1289,79,516.768838215519,356.3189625603442,838115.6009445668,7495.285688298246,0,1,1,0,0,1,1,1,1.83495825032726,BENIGN
44551,797816,11,25,7729,3655,71,30,101.5435472074976,196.68145190058016,1145,65,689.4745259801439,200.05202248443103,360956.8748338165,5643.196594054512,0,1,1,0,0,1,0,0,1.2031801026516356,BruteForce
24838,782519,20,20,12211,12621,831,76,780.7274504961316,487.89388089335694,1160,97,464.398326011492,41.91389400874044,121276.77830581364,8094.057263725263,0,0,1,0,0,0,0,0,1.2912046730817737,BENIGN
62861,788769,46,49,10895,12873,563,30,111.79365985028356,41.22167389016104,232,63,439.8183129042295,303.3675128252247,785984.9490101285,1243.2704991608766,0,1,1,1,1,0,1,0,1.412139696257453,BENIGN
22381,872639,6,35,14118,9038,926,12,647.8871954974915,361.2336431703722,1095,7,891.4347414000553,134.5818339325834,432397.166969271,8204.718925298963,1,1,1,0,0,0,0,0,1.993665681606391,BENIGN
