Fwd Packet Length Min,Flow Bytes/s,Destination Port,Total Length of Fwd Packets,Bwd Packet Length Max,Total Backward Packets,Fwd Packet Length Max,Bwd Packet Length Std,Bwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,URG Flag Count,Flow Duration,Down/Up Ratio,Fwd Packet Length Mean,Total Fwd Packets,Total Length of Bwd Packets,Flow Packets/s
86.0,41.67631876792556,5775,10234,86.0,0,86.0,0.0,86.0,0.0,86.0,0,245.5591161251068,0.0,86.0,119,0,0.48460835776657624
66.0,385.08921796231454,443,4344,1514.0,0,1514.0,431.5862385649956,310.2857142857143,431.5862385649956,66.0,0,11.280502796173096,0.0,310.2857142857143,14,0,1.2410794317385827
54.0,24.753930557941622,443,2508,1514.0,0,1514.0,434.97953974871047,228.0,434.97953974871047,54.0,0,101.31724309921265,0.0,228.0,11,0,0.10856987086816501
66.0,428.6347814358712,52896,4773,1514.0,1,1514.0,481.86795822783927,302.9375,481.86795822783927,66.0,0,11.307995080947876,0.06666666666666667,302.9375,15,74,1.4149281004691439
54.0,43.44593409480232,52897,4326,1514.0,1,1514.0,514.927691499037,314.2857142857143,514.927691499037,54.0,0,101.27529978752136,0.07692307692307693,314.2857142857143,13,74,0.13823706302891645
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
95.0,95000000.0,23873,0,95.0,1,95.0,0.0,95.0,0.0,95.0,0,1e-06,0.0,95.0,0,95,1000000.0
107.0,107000000.0,9547,0,107.0,1,107.0,0.0,107.0,0.0,107.0,0,1e-06,0.0,107.0,0,107,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
141.0,141000000.0,43721,0,141.0,1,141.0,0.0,141.0,0.0,141.0,0,1e-06,0.0,141.0,0,141,1000000.0
129.0,129000000.0,30714,0,129.0,1,129.0,0.0,129.0,0.0,129.0,0,1e-06,0.0,129.0,0,129,1000000.0
153.0,153000000.0,56452,0,153.0,1,153.0,0.0,153.0,0.0,153.0,0,1e-06,0.0,153.0,0,153,1000000.0
99.0,27.333689388804743,5353,3506,453.0,0,453.0,112.33958788662147,194.77777777777777,112.33958788662147,99.0,0,128.26662182807922,0.0,194.77777777777777,18,0,0.1403326893891858
43.0,0.6616233023500775,7,129,43.0,0,43.0,0.0,43.0,0.0,43.0,0,194.9749948978424,0.0,43.0,3,0,0.015386588426745987
99.0,99000000.0,5353,99,99.0,0,99.0,0.0,99.0,0.0,99.0,0,1e-06,0.0,99.0,1,0,1000000.0
54.0,18.53673007608446,443,4096,333.0,0,333.0,90.61414542530679,120.47058823529412,90.61414542530679,54.0,0,220.96669602394104,0.0,120.47058823529412,34,0,0.15386934145187295
66.0,15.233614383264769,52699,3300,281.0,1,281.0,42.954918228300706,102.0,42.954918228300706,66.0,0,220.9587242603302,0.03125,102.0,32,66,0.14934916062024284
82.0,1.8220648074453862,9478,328,82.0,0,82.0,0.0,82.0,0.0,82.0,0,180.0155508518219,0.0,82.0,4,0,0.022220302529821784
112.0,112000000.0,53,112,112.0,0,112.0,0.0,112.0,0.0,112.0,0,1e-06,0.0,112.0,1,0,1000000.0
112.0,112000000.0,53,112,112.0,0,112.0,0.0,112.0,0.0,112.0,0,1e-06,0.0,112.0,1,0,1000000.0
112.0,112000000.0,53,112,112.0,0,112.0,0.0,112.0,0.0,112.0,0,1e-06,0.0,112.0,1,0,1000000.0
112.0,112000000.0,43703,0,112.0,1,112.0,0.0,112.0,0.0,112.0,0,1e-06,0.0,112.0,0,112,1000000.0
128.0,128000000.0,64799,0,128.0,1,128.0,0.0,128.0,0.0,128.0,0,1e-06,0.0,128.0,0,128,1000000.0
73.0,44670.27342745856,443,5444,1292.0,0,1292.0,597.3393228866375,907.3333333333334,597.3393228866375,73.0,0,0.12187075614929199,0.0,907.3333333333334,6,0,49.23248357177652
197.0,197000000.0,40112,0,197.0,1,197.0,0.0,197.0,0.0,197.0,0,1e-06,0.0,197.0,0,197,1000000.0
82.0,58357.259183085844,62063,5330,1292.0,1,1292.0,604.714808814866,902.0,604.714808814866,82.0,0,0.09273910522460938,0.2,902.0,5,82,64.69762658878697
54.0,1.4989635679881046,443,270,54.0,0,54.0,0.0,54.0,0.0,54.0,0,180.12445783615112,0.0,54.0,5,0,0.027758584592372307
66.0,1.8320376147101314,60312,264,66.0,1,66.0,0.0,66.0,0.0,66.0,0,180.12730598449707,0.25,66.0,4,66,0.027758145677426235
54.0,9.661953159800095,443,1971,453.0,0,453.0,171.8994563019996,151.6153846153846,171.8994563019996,54.0,0,203.99602103233337,0.0,151.6153846153846,13,0,0.0637267331696607
66.0,36.22757214868577,60309,7323,1466.0,1,1466.0,554.4028882500523,461.8125,554.4028882500523,66.0,0,203.96067309379578,0.06666666666666667,461.8125,15,66,0.07844649538218601
54.0,1.4991238965590525,443,270,54.0,0,54.0,0.0,54.0,0.0,54.0,0,180.1051938533783,0.0,54.0,5,0,0.027761553639982454
66.0,1.8321586958491662,60313,264,66.0,1,66.0,0.0,66.0,0.0,66.0,0,180.1154019832611,0.25,66.0,4,66,0.02775998024013888
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
113.0,113000000.0,4266,0,113.0,1,113.0,0.0,113.0,0.0,113.0,0,1e-06,0.0,113.0,0,113,1000000.0
159.0,159000000.0,32341,0,159.0,1,159.0,0.0,159.0,0.0,159.0,0,1e-06,0.0,159.0,0,159,1000000.0
173.0,173000000.0,19410,0,173.0,1,173.0,0.0,173.0,0.0,173.0,0,1e-06,0.0,173.0,0,173,1000000.0
